Nummer;TAN;START;END;Interviewdauer [sec];Expected Language;STATUS;STATUS_TEXT;current_Q;Q1A1_1;Q1A2_1;Q1A3_1;Q1A4_1;Q1A5_1;Q1A6_1;Q1A7_1;Q1A8_1;Q1A9_1;Q1A10_1;Q2A1_1;Q2A2_1;Q2A3_1;Q2A4_1;Q2A5_1;Q2A6_1;Q2A7_1;Q2A8_1;Q2A9_1;Q2A10_1;Q3A1_1;Q3A2_1;Q3A3_1;Q3A4_1;Q3A5_1;Q3A6_1;Q3A7_1;Q3A8_1;Q3A9_1;Q3A10_1;Q4;Q5A1;Q5A2;Q5A3;Q5A4;Q5A5;Q5A6;Q5A7;Q5A8;Q5A9;Q6A1;Q6A2;Q6A3;Q6A4;Q6A5;Q6A6;Q6A7;Q6A8;Q7A1;Q8A1;Q9A1;Q10;Q11;Q12;Q13;HTTP_USER_AGENT;IP_START;IP_END;QUESTIONNAIRE;SURVEY;I_ID;interviewer_name;ST_ID;QUESTION_ORDER;I_SURVEY;redem_r;redem_gqs;redem_oes;redem_ts;redem_check_time
66;66;23.06.2025 10:53;23.06.2025 10:54;81;en;Screenout ReDem® Quality Check;;13;Never;Rarely;1–2× per week;3–5× per week;Daily;Several times per day;3–5× per week;1–2× per week;Rarely;Never;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Always;Always;Often;Often;Always;Always;Often;Often;Always;Always;Vegan – I avoid all animal products (no meat, dairy, eggs, etc.);Chicken;Cheese;Bacon or sausage;Eggs;Fish or seafood;Plant-based meat substitutes (e.g., tofu, tempeh);Milk or dairy products;Fruits;Leafy vegetables (e.g., spinach, kale);Health and nutrition;Taste and enjoyment;Convenience and speed;Price and budget;Animal welfare;Environmental concerns;Religious or ethical beliefs;Habit or tradition;The key to a healthy diet is to eat the right amount of calories for how active you are so you balance the energy you consume with the energy you use.;Healthy eating means eating a variety of foods that give you the nutrients you need to maintain your health, feel good, and have energy.;a healthy diet consists of many fresh fruits and vegetables and limits processed foods.;25–34;I live with children;Vocational training;I share cooking and shopping with others;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36";193.154.125.63;193.154.125.63;5;1;0;;0;,1,2,3,4,5,6,7,8,9,10,11,12,13;2___5c5451f05a3c315cbb9233f5ea047db8_OVPRAXC;30;36;34;-999;23.06.2025 10:54
68;68;23.06.2025 14:31;23.06.2025 14:33;118;de;Screenout ReDem® Quality Check;;13;Daily;3–5× per week;Daily;3–5× per week;1–2× per week;1–2× per week;Rarely;Never;Rarely;Never;Strongly disagree;Disagree;Disagree;Disagree;Neutral;Neutral;Disagree;Disagree;Disagree;Strongly disagree;Never;Rarely;Sometimes;Rarely;Rarely;Never;Often;Often;Sometimes;Rarely;Vegan – I avoid all animal products (no meat, dairy, eggs, etc.);Chicken;Cheese;Bacon or sausage;Eggs;Fish or seafood;Plant-based meat substitutes (e.g., tofu, tempeh);Milk or dairy products;Fruits;Leafy vegetables (e.g., spinach, kale);Health and nutrition;Taste and enjoyment;Convenience and speed;Price and budget;Animal welfare;Environmental concerns;Religious or ethical beliefs;Habit or tradition;My current eating habits are shaped by a combination of personal values, health priorities, lifestyle choices, and cultural influences.;Low sugar intake to avoid blood sugar spikes and crashes.;Minimizing ultra-processed foods, which can negatively affect gut health and brain function.;25–34;I live with children;Vocational training;I share cooking and shopping with others;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36";193.154.125.63;193.154.125.63;5;1;0;;0;,1,2,3,4,5,6,7,8,9,10,11,12,13;2___a2f9297d1846cca27dc23381a0c2b7b7_OVPRAXC;55;91;64;-999;23.06.2025 14:33
69;69;23.06.2025 14:40;23.06.2025 14:44;223;en;Screenout ReDem® Quality Check;;13;Never;Rarely;1–2× per week;1–2× per week;Rarely;3–5× per week;3–5× per week;3–5× per week;3–5× per week;3–5× per week;Strongly disagree;Disagree;Strongly disagree;Disagree;Disagree;Disagree;Neutral;Strongly agree;Strongly agree;Disagree;Never;Rarely;Never;Rarely;Rarely;Rarely;Sometimes;Often;Sometimes;Rarely;Vegan – I avoid all animal products (no meat, dairy, eggs, etc.);Chicken;Cheese;Bacon or sausage;Eggs;Fish or seafood;Plant-based meat substitutes (e.g., tofu, tempeh);Milk or dairy products;Fruits;Leafy vegetables (e.g., spinach, kale);Health and nutrition;Taste and enjoyment;Convenience and speed;Price and budget;Animal welfare;Environmental concerns;Religious or ethical beliefs;Habit or tradition;Base your meals on higher fibre starchy carbohydrates;potatoes and chicken;Fruit, vegetables, legumes (e.g. lentils and beans), nuts and whole grains;25–34;I live with children;Vocational training;Someone else does most of the shopping/cooking;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36";193.154.125.63;193.154.125.63;5;1;0;;0;,1,2,3,4,5,6,7,8,9,10,11,12,13;2___c620a4f1232ae2201172b6a9992a1f48_OVPRAXC;70;89;87;-999;23.06.2025 14:44
70;70;23.06.2025 14:51;23.06.2025 14:52;75;en;Screenout ReDem® Quality Check;;13;Never;Rarely;Rarely;Rarely;Rarely;Rarely;Rarely;Rarely;Rarely;1–2× per week;Strongly disagree;Disagree;Neutral;Agree;Strongly agree;Agree;Neutral;Disagree;Strongly disagree;Disagree;Never;Never;Rarely;Rarely;Sometimes;Sometimes;Often;Often;Always;Always;Vegetarian – I don’t eat meat or fish, but I do eat dairy or eggs;;Cheese;Bacon or sausage;Eggs;;;;;;;;Convenience and speed;Price and budget;;;;;Test typing;Fruit, vegetables, legumes (e.g. lentils and beans), nuts and whole grains;ow sugar intake to avoid blood sugar spikes and crashes.;35–44;I live with parents or other family members;High school diploma;I share cooking and shopping with others;"Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Mobile Safari/537.36";80243160164;80243160164;5;1;0;;0;,1,2,3,4,5,6,7,8,9,10,11,12,13;2___43f0d6f56e5fd44c1d49d8717322385a_OVPRAXC;56;21;84;-999;23.06.2025 14:52
72;72;23.06.2025 14:59;23.06.2025 15:01;168;de;Screenout ReDem® Quality Check;;13;Never;Rarely;1–2× per week;3–5× per week;Daily;Several times per day;Daily;3–5× per week;1–2× per week;Rarely;Strongly disagree;Strongly disagree;Disagree;Disagree;Neutral;Neutral;Agree;Agree;Strongly agree;Strongly agree;Never;Never;Never;Never;Never;Never;Never;Never;Never;Never;Omnivore – I eat all kinds of food, including meat, fish, and plant-based items;;Cheese;;Eggs;;Plant-based meat substitutes (e.g., tofu, tempeh);Milk or dairy products;;;;Taste and enjoyment;Convenience and speed;Price and budget;;;;;test thi styping;asda asasdasdasda;a healthy diet consists of many fresh fruits and vegetables and limit;35–44;I live with parents or other family members;University or college degree;Someone else does most of the shopping/cooking;"Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Mobile Safari/537.36";80243160164;80243160164;5;1;0;;0;,1,2,3,4,5,6,7,8,9,10,11,12,13;2___c67774bc5dc1081c58917095d0a37313_OVPRAXC;38;34;6;-999;23.06.2025 15:02
76;76;24.06.2025 11:09;24.06.2025 11:14;322;en;Screenout ReDem® Quality Check;;13;Never;1–2× per week;Rarely;3–5× per week;3–5× per week;3–5× per week;Daily;3–5× per week;1–2× per week;Several times per day;Strongly disagree;Disagree;Neutral;Strongly disagree;Disagree;Neutral;Strongly disagree;Disagree;Neutral;Agree;Never;Always;Sometimes;Sometimes;Sometimes;Often;Often;Rarely;Sometimes;Rarely;Omnivore – I eat all kinds of food, including meat, fish, and plant-based items;Chicken;Cheese;Bacon or sausage;Eggs;;;Milk or dairy products;Fruits;Leafy vegetables (e.g., spinach, kale);;;Convenience and speed;Price and budget;Animal welfare;Environmental concerns;Religious or ethical beliefs;Habit or tradition;Convenience and speed, price and budget, animal welfare, environmental concerns, religious or ethical beliefs, habit or tradition.;My typical meal usually consists of grilled chicken with a side of mixed vegetables and a small portion of brown rice.;A 'healthy meal' to me means balanced and nutritious, with a good mix of proteins, carbohydrates, and vegetables. I try to achieve this by meal prepping with lean proteins, whole grains, and plenty of fresh vegetables.;45–59;I live in a shared flat or community;Vocational training;I share cooking and shopping with others;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36";24.134.96.217;24.134.96.217;5;1;0;;0;,1,2,3,4,5,6,7,8,9,10,11,12,13;2___a2311d7a7507559ffca7b947c4b54097_OVPRAXC;52;95;0;-999;24.06.2025 11:14
77;77;24.06.2025 11:28;24.06.2025 11:28;16;de;Screenout ReDem® Quality Check;;13;3–5× per week;1–2× per week;3–5× per week;Rarely;Several times per day;1–2× per week;Several times per day;3–5× per week;3–5× per week;3–5× per week;Disagree;Strongly disagree;Disagree;Agree;Strongly agree;Neutral;Disagree;Disagree;Strongly agree;Disagree;Always;Sometimes;Often;Never;Often;Rarely;Never;Never;Always;Never;Flexitarian – I mostly avoid meat but eat it occasionally;Chicken;Cheese;Bacon or sausage;Eggs;Fish or seafood;Plant-based meat substitutes (e.g., tofu, tempeh);Milk or dairy products;Fruits;Leafy vegetables (e.g., spinach, kale);;;Convenience and speed;Price and budget;Animal welfare;;Religious or ethical beliefs;Habit or tradition;olor sit amet. Lorem ipsum dolor sit amet, consetetur sadipscing;et clita kasd gubergren, no sea takimata s;rat volutpat.Ut wisi enim ad minim veniam, quis nostrud exerci tation ullamcorper s;18–24;I live with a partner;High school diploma;Someone else does most of the shopping/cooking;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36";24.134.96.217;24.134.96.217;5;1;0;;0;,1,2,3,4,5,6,7,8,9,10,11,12,13;2___fcb571cce824479a57000d5edc92f26b_OVPRAXC;28;96;0;-999;0
78;78;24.06.2025 11:30;24.06.2025 11:34;242;en;Screenout ReDem® Quality Check;;13;1–2× per week;1–2× per week;Several times per day;Never;3–5× per week;3–5× per week;Several times per day;3–5× per week;Never;3–5× per week;Agree;Strongly agree;Strongly disagree;Strongly agree;Disagree;Strongly disagree;Neutral;Neutral;Disagree;Neutral;Sometimes;Sometimes;Rarely;Sometimes;Never;Sometimes;Never;Sometimes;Never;Never;Other;Chicken;Cheese;Bacon or sausage;Eggs;;;Milk or dairy products;;Leafy vegetables (e.g., spinach, kale);Health and nutrition;Taste and enjoyment;Convenience and speed;;Animal welfare;Environmental concerns;Religious or ethical beliefs;Habit or tradition;r adipiscing elit, sed diam non;ccusam et justo duo dolores et ea rebum. Stet clita kasd gubergr;u feugiat nulla facilisis at vero eros et accum;Under 18;I live alone;Vocational training;I share cooking and shopping with others;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36";24.134.96.217;24.134.96.217;5;1;0;;0;,1,2,3,4,5,6,7,8,9,10,11,12,13;2___49cf4f11809983bf0d72d27583247243_OVPRAXC;52;95;7;-999;24.06.2025 11:34
79;79;24.06.2025 12:08;24.06.2025 12:08;1825;en;Aufruf Fragebogen;;1;1–2× per week;1–2× per week;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36";24.134.96.217;;5;1;0;;0;;2___ddfdb4bf9c707a9292dd47b83105ab44_OVPRAXC;;;;;0
80;80;24.06.2025 12:45;24.06.2025 12:53;465;de;Screenout ReDem® Quality Check;;13;1–2× per week;3–5× per week;1–2× per week;Daily;Daily;Daily;Daily;Rarely;1–2× per week;Rarely;Agree;Agree;Agree;Agree;Agree;Agree;Agree;Agree;Agree;Agree;Always;Rarely;Sometimes;Sometimes;Sometimes;Always;Sometimes;Sometimes;Sometimes;Rarely;Omnivore – I eat all kinds of food, including meat, fish, and plant-based items;Chicken;Cheese;Bacon or sausage;Eggs;Fish or seafood;Plant-based meat substitutes (e.g., tofu, tempeh);Milk or dairy products;Fruits;Leafy vegetables (e.g., spinach, kale);Health and nutrition;;;;;;;;Health and nutrition;Sure, a typical meal for me would be grilled chicken with a side of steamed vegetables and a small portion of brown rice.;Balanced meals with a variety of nutrients, including lean protein, fruits, vegetables, and whole grains, are crucial. I strive to achieve this by planning meals in advance and incorporating a wide range of colorful and fresh ingredients.;60 or older;I live with a partner;High school diploma;I buy groceries and cook most of the time;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36";24.134.96.217;24.134.96.217;5;1;0;;0;,1,2,3,4,5,6,7,8,9,10,11,12,13;2___60a4928291a0248d247549f45c308e4f_OVPRAXC;53;59;24;-999;0
84;84;24.06.2025 14:44;24.06.2025 14:51;429;en;vollständige Befragung;;13;1–2× per week;3–5× per week;1–2× per week;3–5× per week;Daily;Daily;3–5× per week;1–2× per week;Daily;1–2× per week;Agree;Agree;Agree;Agree;Disagree;Strongly agree;Strongly disagree;Strongly agree;Disagree;Strongly disagree;Always;Rarely;Never;Never;Sometimes;Often;Always;Always;Often;Never;Omnivore – I eat all kinds of food, including meat, fish, and plant-based items;;;Bacon or sausage;;;Plant-based meat substitutes (e.g., tofu, tempeh);;;;Health and nutrition;Taste and enjoyment;Convenience and speed;Price and budget;Animal welfare;Environmental concerns;Religious or ethical beliefs;;Got to look aftre health... that's improtant. But also, uh, love tasty food. Fast, cheap too. Yeah, and care 'bout animals environment also... doin my bit;Uh, carrots and peas with tofu sausage... yeah n a jacket poatto. Sometimes I add cheese on that. Qiuck n easy, good n healthy maybe.;balance of veg n protein... not too much fat or sugar... I use fres ingredients... try to cook myself, yeah.;45–59;I live with children;University or college degree;I buy groceries and cook most of the time;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36";24.134.96.217;24.134.96.217;5;1;0;;0;,1,2,3,4,5,6,7,8,9,10,11,12,13;2___7fbd75c17085e6a54ac87c692fafd951_OVPRAXC;88;94;100;-999;24.06.2025 14:51
85;85;24.06.2025 14:48;24.06.2025 14:50;172;de;Screenout ReDem® Quality Check;;13;Several times per day;Daily;Several times per day;Several times per day;Several times per day;Daily;Several times per day;Daily;Several times per day;Daily;Agree;Strongly agree;Strongly agree;Agree;Agree;Strongly agree;Agree;Strongly agree;Strongly agree;Agree;Always;Always;Always;Always;Always;Always;Always;Always;Always;Always;Vegetarian – I don’t eat meat or fish, but I do eat dairy or eggs;Chicken;Cheese;Bacon or sausage;Eggs;Fish or seafood;Plant-based meat substitutes (e.g., tofu, tempeh);Milk or dairy products;Fruits;Leafy vegetables (e.g., spinach, kale);Health and nutrition;Taste and enjoyment;Convenience and speed;Price and budget;Animal welfare;Environmental concerns;Religious or ethical beliefs;Habit or tradition;hjhjgwerhi;fegfweg;Salad no salt no sugar;25–34;I live with children;Vocational training;I share cooking and shopping with others;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36";1,93154E+11;1,93154E+11;5;1;0;;0;,1,2,3,4,5,6,7,8,9,10,11,12,13;2___3224aeaa119dcc2572e623363287d7a0_OVPRAXC;48;61;24;-999;24.06.2025 14:51
86;86;24.06.2025 19:46;25.06.2025 08:23;43429;en;Teilbefragung;;4;1–2× per week;1–2× per week;1–2× per week;3–5× per week;3–5× per week;Daily;3–5× per week;Daily;Never;Several times per day;Agree;Agree;Agree;Strongly agree;Strongly agree;Agree;Strongly disagree;Strongly agree;Agree;Agree;Always;Always;Never;Always;Never;Rarely;Rarely;Never;Rarely;Never;Omnivore – I eat all kinds of food, including meat, fish, and plant-based items;;;;;;;;;;;;;;;;;;;;;;;;;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36";24.134.96.217;;5;1;0;;0;,1,2,3;2___b80790a5c3af1bdee39ab81170334158_OVPRAXC;;;;;0
87;87;25.06.2025 08:23;25.06.2025 08:30;420;en;Teilbefragung;;4;Never;Never;1–2× per week;Daily;Several times per day;Daily;Several times per day;3–5× per week;Never;Never;Disagree;Agree;Agree;Strongly agree;Disagree;Strongly agree;Strongly agree;Strongly agree;Disagree;Disagree;Always;Rarely;Sometimes;Sometimes;Sometimes;Always;Sometimes;Sometimes;Sometimes;Rarely;;;;;;;;;;;;;;;;;;;;;;;;;;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36";24.134.96.217;;5;1;0;;0;,1,2,3;2___3e2b6263d68b35074aa520e5bb3a6b8e_OVPRAXC;;;;;0
88;88;25.06.2025 08:33;25.06.2025 08:33;;de;Aufruf Fragebogen;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36";24.134.96.217;;5;1;0;;0;;2___67ef29dbbc25baef9fb69df3f5b5a6c6_OVPRAXC;;;;;0
89;89;25.06.2025 09:20;25.06.2025 09:20;14;en;Teilbefragung;;2;1–2× per week;1–2× per week;1–2× per week;3–5× per week;Daily;Daily;3–5× per week;Rarely;Rarely;Rarely;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36";24.134.96.217;;5;1;0;;0;0,1;2___95022cfd02ef559f65706892223a3c5c_OVPRAXC;;;;;0
90;90;25.06.2025 09:52;25.06.2025 09:59;441;de;vollständige Befragung;;13;Rarely;1–2× per week;Rarely;1–2× per week;Daily;Daily;3–5× per week;1–2× per week;Rarely;Rarely;Strongly disagree;Agree;Agree;Disagree;Neutral;Agree;Strongly agree;Disagree;Disagree;Neutral;Always;Sometimes;Sometimes;Sometimes;Sometimes;Often;Sometimes;Sometimes;Often;Rarely;Vegetarian – I don’t eat meat or fish, but I do eat dairy or eggs;;Cheese;;Eggs;;Plant-based meat substitutes (e.g., tofu, tempeh);Milk or dairy products;Fruits;Leafy vegetables (e.g., spinach, kale);Health and nutrition;Taste and enjoyment;;Price and budget;;Environmental concerns;;;Been a veggie for donkey's years now! ???? Better for my health and good for the environment too. Plu,s I like the taste, not missing meat at all ???? Being conscious with my spending too, helps with the budget ???? Can't argue with feeling good and saving the planet simultaneously, can we? ????????;Sure thing! ???? A normal dinner might be a nice big salad: mixed greens, tomatoes????, cucumbers????, maybe some kidney beans and a hard-boiled egg????. Then a bit of cheese???? on top with balsamic vinaigrette. Sometimes I'll have a side of garlic bread???? and finish off with a fruit like an apple????. Simple, but yummy! ????????????;A healthy meal for me? Well, it's one that's balanced - a good mix of protein, carbs and a heap load of veggies ????. I also try to keep my portions under control ?????. I'm not about denying myself though. If I fancy a treat, I'll have a treat – just not everyday!;60 or older;I live with a partner;University or college degree;I buy groceries and cook most of the time;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36";24.134.96.217;24.134.96.217;5;1;0;;0;,1,2,3,4,5,6,7,8,9,10,11,12,13;2___afcb810891a934d1323375aad1fd4821_OVPRAXC;98;91;100;-999;25.06.2025 09:59
91;91;25.06.2025 10:29;25.06.2025 10:31;118;en;Screenout ReDem® Quality Check;;13;Never;Rarely;1–2× per week;3–5× per week;Daily;Several times per day;Daily;1–2× per week;Rarely;Never;Strongly disagree;Disagree;Disagree;Strongly disagree;Strongly disagree;Disagree;Disagree;Strongly disagree;Disagree;Disagree;Never;Rarely;Sometimes;Often;Always;Often;Sometimes;Rarely;Never;Rarely;Vegan – I avoid all animal products (no meat, dairy, eggs, etc.);Chicken;Cheese;Bacon or sausage;Eggs;Fish or seafood;Plant-based meat substitutes (e.g., tofu, tempeh);Milk or dairy products;Fruits;Leafy vegetables (e.g., spinach, kale);Health and nutrition;Taste and enjoyment;Convenience and speed;Price and budget;Animal welfare;Environmental concerns;Religious or ethical beliefs;Habit or tradition;the reasons for your current eating habits.;I don't know;A healthy meal is one that provides your body with essential nutrients while supporting overall well-being, energy levels, and disease prevention.;25–34;I live with a partner;Secondary school;I share cooking and shopping with others;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36";80.121.50.193;80.121.50.193;5;1;0;;0;,1,2,3,4,5,6,7,8,9,10,11,12,13;2___b963f5d716277a90f90c7e1c937e6bd8_OVPRAXC;50;62;47;-999;25.06.2025 10:32
92;92;25.06.2025 12:00;25.06.2025 12:06;371;en;Teilbefragung;;9;Rarely;Daily;1–2× per week;Daily;Daily;Daily;Daily;Rarely;Rarely;Rarely;Strongly disagree;Strongly agree;Agree;Disagree;Disagree;Agree;Strongly agree;Disagree;Disagree;Disagree;Always;Rarely;Sometimes;Sometimes;Sometimes;Often;Sometimes;Sometimes;Often;Rarely;Omnivore – I eat all kinds of food, including meat, fish, and plant-based items;;;;Eggs;Fish or seafood;Plant-based meat substitutes (e.g., tofu, tempeh);;Fruits;Leafy vegetables (e.g., spinach, kale);Health and nutrition;Taste and enjoyment;;Price and budget;;;;;Been at this eating game for a while, you know. Its' all about balance for me – need me grub but also keen on health. Loev the taste of food and aint' too fussy. Try to eat organic when I can, keep the chemicals down. Being on a budget also helps control the indulgences. Yoga and running daily keeps me in check too. It's worked for me all these years, so why change, eh?;Sure can. Morning starts with oatmeal, topped with fresh fruits and a bit of honey - gets me going. Lunch could be a tuna sandwich, maybe with a side of salad, light and healthy. Dinner, chicken or fish with steamed veggies and some brown rice on the side. If I've been fishing, might get lucky with soem fresh catch for dinner! And there's always a cup of green tea before bed.;;;;;;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36";24.134.96.217;;5;1;0;;0;,1,2,3,4,5,6,7,8;2___64025e14b85b034198b3a7dec915d5fa_OVPRAXC;;;;;0
93;93;26.06.2025 08:49;26.06.2025 08:51;78;de;Screenout ReDem® Quality Check;;13;Never;Rarely;1–2× per week;3–5× per week;1–2× per week;Rarely;Never;Rarely;1–2× per week;3–5× per week;Strongly disagree;Strongly disagree;Disagree;Disagree;Neutral;Neutral;Agree;Agree;Strongly agree;Strongly agree;Never;Never;Never;Never;Never;Never;Never;Never;Never;Never;Vegan – I avoid all animal products (no meat, dairy, eggs, etc.);Chicken;Cheese;;;;;;;;Health and nutrition;Taste and enjoyment;;;;;;;Test typing is this;Can you describe a typical meal that represents your usual eating behavior?;What does a ‘healthy meal’ mean to you personally, and how do you try to achieve it?;45–59;I live alone;Vocational training;I share cooking and shopping with others;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36";80243160164;80243160164;5;1;0;;0;,1,2,3,4,5,6,7,8,9,10,11,12,13;2___93ba6bdd7377cf3e45c97d85935c43b3_OVPRAXC;26;34;0;-999;26.06.2025 08:51
94;94;26.06.2025 08:54;26.06.2025 08:54;;de;Aufruf Fragebogen;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36";80243160164;;5;1;0;;0;;2___87e676f6e1b590e6f2ee3b06a6cdcc98_OVPRAXC;;;;;0
95;95;26.06.2025 09:11;26.06.2025 09:11;;en;Aufruf Fragebogen;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36";80243160164;;5;1;0;;0;;2___9c89c6e493a97146efa0ce2cdfb24c52_OVPRAXC;;;;;0
96;96;26.06.2025 14:06;26.06.2025 14:11;295;de;vollständige Befragung;;13;3–5× per week;Several times per day;Never;Rarely;Never;3–5× per week;3–5× per week;Rarely;Rarely;3–5× per week;Strongly agree;Strongly agree;Neutral;Strongly agree;Agree;Strongly disagree;Disagree;Neutral;Neutral;Strongly agree;Sometimes;Sometimes;Never;Sometimes;Sometimes;Often;Sometimes;Always;Rarely;Rarely;Other;Chicken;;Bacon or sausage;Eggs;;;;;;Health and nutrition;;Convenience and speed;;Animal welfare;;;;It's possible, but I'm unsure.;I'm not sure how to answer that.;That's open to interpretation.;35–44;I live in a shared flat or community;other;I buy groceries and cook most of the time;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36";24.134.96.217;24.134.96.217;5;1;0;;0;,1,2,3,4,5,6,7,8,9,10,11,12,13;2___cdaf5bea110aa9109d5b29c5cca83c6a_OVPRAXC;75;92;60;-999;26.06.2025 14:11
97;97;26.06.2025 14:16;26.06.2025 14:23;431;en;vollständige Befragung;;13;1–2× per week;Daily;1–2× per week;Daily;Daily;Daily;Daily;1–2× per week;Rarely;Rarely;Disagree;Agree;Agree;Disagree;Disagree;Agree;Strongly agree;Disagree;Disagree;Disagree;Always;Rarely;Sometimes;Sometimes;Sometimes;Often;Sometimes;Sometimes;Often;Rarely;Omnivore – I eat all kinds of food, including meat, fish, and plant-based items;Chicken;;;Eggs;Fish or seafood;;;Fruits;Leafy vegetables (e.g., spinach, kale);Health and nutrition;Taste and enjoyment;;;;Environmental concerns;;;Always conscious of health and environment mate.???? Plus, good food means better mood and energy, righ?t ???????? Eating a balanced diet while thinking about Mother Nature! ???????? Very important to look after ourselves and our planet!!????????????????????;Typical breakie would be something like a veggie omelette, add some rye toast and a good cuppa joe ????????? Dinner might be girlled salmon, soem quinoa, nice big salad, all organic of course! ????????????????;Healthy meal for me? Balanced plate, you know. Bit of protein, lots of veggies, good grains, light on the processed stuff. Try to use fresh, organic when I can, keep the planet and me both happy ????????. Pref cooking at home, gives me control on the ingredients n all that????????????;45–59;I live in a shared flat or community;University or college degree;I buy groceries and cook most of the time;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36";24.134.96.217;24.134.96.217;5;1;0;;0;,1,2,3,4,5,6,7,8,9,10,11,12,13;2___842f1a4719a5a7f41892ee8a767e89d2_OVPRAXC;97;88;100;-999;26.06.2025 14:23
